,sample,objid,wid,clust
0,25workers_rand0,1,75,0
1,25workers_rand0,1,247,0
2,25workers_rand0,1,201,0
3,25workers_rand0,1,137,0
4,25workers_rand0,1,116,0
5,25workers_rand0,1,239,0
6,25workers_rand0,1,118,0
7,25workers_rand0,1,219,0
8,25workers_rand0,1,223,0
9,25workers_rand0,1,248,0
10,25workers_rand0,1,140,0
11,25workers_rand0,1,181,0
12,25workers_rand0,1,199,0
13,25workers_rand0,1,146,1
14,25workers_rand0,1,52,0
15,25workers_rand0,1,234,1
16,25workers_rand0,1,170,0
17,25workers_rand0,1,148,0
18,25workers_rand0,1,114,0
19,25workers_rand0,1,156,0
20,25workers_rand0,1,133,0
21,25workers_rand0,1,246,0
22,25workers_rand0,1,196,0
23,25workers_rand0,1,238,0
24,25workers_rand0,1,175,0
25,25workers_rand0,4,148,0
26,25workers_rand0,4,143,0
27,25workers_rand0,4,137,0
28,25workers_rand0,4,265,0
29,25workers_rand0,4,199,0
30,25workers_rand0,4,240,0
31,25workers_rand0,4,225,0
32,25workers_rand0,4,114,0
33,25workers_rand0,4,234,0
34,25workers_rand0,4,208,1
35,25workers_rand0,4,184,0
36,25workers_rand0,4,196,0
37,25workers_rand0,4,187,0
38,25workers_rand0,4,181,0
39,25workers_rand0,4,169,0
40,25workers_rand0,4,232,0
41,25workers_rand0,4,201,0
42,25workers_rand0,4,193,0
43,25workers_rand0,4,142,0
44,25workers_rand0,4,52,0
45,25workers_rand0,4,133,0
46,25workers_rand0,4,230,0
47,25workers_rand0,4,209,0
48,25workers_rand0,4,223,1
49,25workers_rand0,4,233,0
50,25workers_rand0,7,116,0
51,25workers_rand0,7,148,0
52,25workers_rand0,7,140,0
53,25workers_rand0,7,249,0
54,25workers_rand0,7,175,1
55,25workers_rand0,7,267,0
56,25workers_rand0,7,219,0
57,25workers_rand0,7,92,0
58,25workers_rand0,7,241,0
59,25workers_rand0,7,9,0
60,25workers_rand0,7,146,1
61,25workers_rand0,7,187,0
62,25workers_rand0,7,156,0
63,25workers_rand0,7,129,0
64,25workers_rand0,7,161,0
65,25workers_rand0,7,82,1
66,25workers_rand0,7,181,0
67,25workers_rand0,7,52,0
68,25workers_rand0,7,114,0
69,25workers_rand0,7,133,1
70,25workers_rand0,7,84,1
71,25workers_rand0,7,247,1
72,25workers_rand0,7,192,0
73,25workers_rand0,7,230,0
74,25workers_rand0,7,235,0
75,25workers_rand0,8,196,0
76,25workers_rand0,8,247,2
77,25workers_rand0,8,235,1
78,25workers_rand0,8,131,0
79,25workers_rand0,8,260,1
80,25workers_rand0,8,25,1
81,25workers_rand0,8,200,0
82,25workers_rand0,8,241,0
83,25workers_rand0,8,239,0
84,25workers_rand0,8,270,1
85,25workers_rand0,8,54,0
86,25workers_rand0,8,82,0
87,25workers_rand0,8,135,0
88,25workers_rand0,8,161,1
89,25workers_rand0,8,209,0
90,25workers_rand0,8,193,0
91,25workers_rand0,8,148,0
92,25workers_rand0,8,46,2
93,25workers_rand0,8,208,0
94,25workers_rand0,8,223,0
95,25workers_rand0,8,230,1
96,25workers_rand0,8,118,0
97,25workers_rand0,8,219,0
98,25workers_rand0,8,192,0
99,25workers_rand0,8,133,0
100,25workers_rand0,10,135,0
101,25workers_rand0,10,147,1
102,25workers_rand0,10,149,0
103,25workers_rand0,10,261,0
104,25workers_rand0,10,175,0
105,25workers_rand0,10,139,0
106,25workers_rand0,10,223,0
107,25workers_rand0,10,46,0
108,25workers_rand0,10,235,0
109,25workers_rand0,10,184,0
110,25workers_rand0,10,156,0
111,25workers_rand0,10,193,0
112,25workers_rand0,10,161,0
113,25workers_rand0,10,131,0
114,25workers_rand0,10,169,0
115,25workers_rand0,10,240,0
116,25workers_rand0,10,187,0
117,25workers_rand0,10,159,0
118,25workers_rand0,10,116,0
119,25workers_rand0,10,146,0
120,25workers_rand0,10,114,1
121,25workers_rand0,10,239,0
122,25workers_rand0,10,199,0
123,25workers_rand0,10,226,0
124,25workers_rand0,10,233,0
125,25workers_rand0,20,81,2
126,25workers_rand0,20,195,2
127,25workers_rand0,20,181,1
128,25workers_rand0,20,241,3
129,25workers_rand0,20,199,2
130,25workers_rand0,20,259,2
131,25workers_rand0,20,214,3
132,25workers_rand0,20,4,2
133,25workers_rand0,20,218,1
134,25workers_rand0,20,209,1
135,25workers_rand0,20,189,1
136,25workers_rand0,20,208,1
137,25workers_rand0,20,193,2
138,25workers_rand0,20,52,3
139,25workers_rand0,20,192,1
140,25workers_rand0,20,234,2
141,25workers_rand0,20,184,1
142,25workers_rand0,20,196,2
143,25workers_rand0,20,38,4
144,25workers_rand0,20,175,2
145,25workers_rand0,20,16,4
146,25workers_rand0,20,230,1
147,25workers_rand0,20,201,2
148,25workers_rand0,20,200,4
149,25workers_rand0,20,217,2
150,25workers_rand0,15,60,0
151,25workers_rand0,15,129,0
152,25workers_rand0,15,130,0
153,25workers_rand0,15,261,0
154,25workers_rand0,15,150,0
155,25workers_rand0,15,272,0
156,25workers_rand0,15,219,0
157,25workers_rand0,15,12,0
158,25workers_rand0,15,234,0
159,25workers_rand0,15,52,0
160,25workers_rand0,15,146,0
161,25workers_rand0,15,156,0
162,25workers_rand0,15,142,0
163,25workers_rand0,15,114,0
164,25workers_rand0,15,148,0
165,25workers_rand0,15,235,0
166,25workers_rand0,15,143,0
167,25workers_rand0,15,131,0
168,25workers_rand0,15,51,0
169,25workers_rand0,15,68,0
170,25workers_rand0,15,46,0
171,25workers_rand0,15,214,0
172,25workers_rand0,15,161,0
