,Unnamed: 0,sample,num_workers,sample_num,objid,clust,actualNworkerInSample
1239,1239,5workers_rand0,5,0,1,0,5
1241,1241,5workers_rand0,5,0,4,0,4
1243,1243,5workers_rand0,5,0,7,0,5
1245,1245,5workers_rand0,5,0,8,0,3
1296,1296,5workers_rand0,5,0,10,0,5
1248,1248,5workers_rand0,5,0,15,0,5
1250,1250,5workers_rand0,5,0,18,0,5
1255,1255,5workers_rand0,5,0,20,3,3
1257,1257,5workers_rand0,5,0,21,0,5
1259,1259,5workers_rand0,5,0,22,0,5
1262,1262,5workers_rand0,5,0,25,1,4
1263,1263,5workers_rand0,5,0,26,0,4
1265,1265,5workers_rand0,5,0,27,0,5
1269,1269,5workers_rand0,5,0,28,0,5
1271,1271,5workers_rand0,5,0,29,0,3
1275,1275,5workers_rand0,5,0,30,1,4
1276,1276,5workers_rand0,5,0,31,0,4
1279,1279,5workers_rand0,5,0,32,0,5
1281,1281,5workers_rand0,5,0,33,0,3
1284,1284,5workers_rand0,5,0,34,1,5
1285,1285,5workers_rand0,5,0,37,0,3
1292,1292,5workers_rand0,5,0,40,0,4
1294,1294,5workers_rand0,5,0,41,0,3
1287,1287,5workers_rand0,5,0,42,0,4
1290,1290,5workers_rand0,5,0,47,1,3
1298,1298,5workers_rand1,5,1,1,0,5
1300,1300,5workers_rand1,5,1,4,0,5
1303,1303,5workers_rand1,5,1,7,1,4
1304,1304,5workers_rand1,5,1,8,0,2
1355,1355,5workers_rand1,5,1,10,0,5
1307,1307,5workers_rand1,5,1,15,0,5
1309,1309,5workers_rand1,5,1,18,0,5
1313,1313,5workers_rand1,5,1,20,2,2
1316,1316,5workers_rand1,5,1,21,0,5
1318,1318,5workers_rand1,5,1,22,0,5
1321,1321,5workers_rand1,5,1,25,1,3
1322,1322,5workers_rand1,5,1,26,0,5
1324,1324,5workers_rand1,5,1,27,0,5
1328,1328,5workers_rand1,5,1,28,0,4
1330,1330,5workers_rand1,5,1,29,0,2
1334,1334,5workers_rand1,5,1,30,1,5
1335,1335,5workers_rand1,5,1,31,0,4
1338,1338,5workers_rand1,5,1,32,0,5
1340,1340,5workers_rand1,5,1,33,0,4
1343,1343,5workers_rand1,5,1,34,1,5
1345,1345,5workers_rand1,5,1,37,1,3
1351,1351,5workers_rand1,5,1,40,0,4
1353,1353,5workers_rand1,5,1,41,0,3
1347,1347,5workers_rand1,5,1,42,1,3
1350,1350,5workers_rand1,5,1,47,2,3
1357,1357,5workers_rand2,5,2,1,0,5
1359,1359,5workers_rand2,5,2,4,0,5
1362,1362,5workers_rand2,5,2,7,1,3
1364,1364,5workers_rand2,5,2,8,1,3
1414,1414,5workers_rand2,5,2,10,0,5
1366,1366,5workers_rand2,5,2,15,0,5
1368,1368,5workers_rand2,5,2,18,0,5
1371,1371,5workers_rand2,5,2,20,1,2
1375,1375,5workers_rand2,5,2,21,0,5
1377,1377,5workers_rand2,5,2,22,0,5
1380,1380,5workers_rand2,5,2,25,1,3
1381,1381,5workers_rand2,5,2,26,0,4
1383,1383,5workers_rand2,5,2,27,0,4
1387,1387,5workers_rand2,5,2,28,0,5
1389,1389,5workers_rand2,5,2,29,0,3
1393,1393,5workers_rand2,5,2,30,1,4
1394,1394,5workers_rand2,5,2,31,0,5
1397,1397,5workers_rand2,5,2,32,0,4
1399,1399,5workers_rand2,5,2,33,0,4
1402,1402,5workers_rand2,5,2,34,1,4
1403,1403,5workers_rand2,5,2,37,0,4
1411,1411,5workers_rand2,5,2,40,1,3
1412,1412,5workers_rand2,5,2,41,0,4
1405,1405,5workers_rand2,5,2,42,0,3
1407,1407,5workers_rand2,5,2,47,0,2
1416,1416,5workers_rand3,5,3,1,0,4
1418,1418,5workers_rand3,5,3,4,0,5
1421,1421,5workers_rand3,5,3,7,1,4
1422,1422,5workers_rand3,5,3,8,0,3
1473,1473,5workers_rand3,5,3,10,0,4
1425,1425,5workers_rand3,5,3,15,0,5
1427,1427,5workers_rand3,5,3,18,0,5
1433,1433,5workers_rand3,5,3,20,4,2
1434,1434,5workers_rand3,5,3,21,0,5
1436,1436,5workers_rand3,5,3,22,0,5
1439,1439,5workers_rand3,5,3,25,1,3
1440,1440,5workers_rand3,5,3,26,0,5
1442,1442,5workers_rand3,5,3,27,0,5
1446,1446,5workers_rand3,5,3,28,0,5
