objid,k,thresh,p,r,j,fpr,fnr
1,100,0.2,0.816675608293622,0.9883134738771769,0.8088644390960522,2.0671420844364734,1.1686526122823098
1,100,0.5,0.8352702393033686,0.9744500458295142,0.8173692977960021,1.79064537250548,2.554995417048579
1,100,0.8,0.9931248064416228,0.6123586923311947,0.6097737212397795,0.03949953027585618,38.76413076688054
1,500,0.2,0.816675608293622,0.9883134738771769,0.8088644390960522,2.0671420844364734,1.1686526122823098
1,500,0.5,0.8352702393033686,0.9744500458295142,0.8173692977960021,1.79064537250548,2.554995417048579
1,500,0.8,0.9931248064416228,0.6123586923311947,0.6097737212397795,0.03949953027585618,38.76413076688054
10,100,0.2,0.9766185983027713,0.9755765012745272,0.9533105485720906,0.13540868333957679,2.442349872547276
10,100,0.5,0.9799546593485264,0.9737388108364455,0.9547224643998837,0.11547542538603503,2.626118916355445
10,100,0.8,0.9907577426857632,0.9595708103622028,0.9510575793184489,0.05189520605146218,4.042918963779715
10,500,0.2,0.9766185983027713,0.9755765012745272,0.9533105485720906,0.13540868333957679,2.442349872547276
10,500,0.5,0.9799546593485264,0.9737388108364455,0.9547224643998837,0.11547542538603503,2.626118916355445
10,500,0.8,0.9907577426857632,0.9595708103622028,0.9510575793184489,0.05189520605146218,4.042918963779715
11,100,0.2,0.33056305838354455,0.9845297029702971,0.3288548987184787,1.0521709598202624,1.547029702970297
11,100,0.5,-1,0.0,0.0,0.0,100.0
11,100,0.8,-1,0.0,0.0,0.0,100.0
11,500,0.2,0.33056305838354455,0.9845297029702971,0.3288548987184787,1.0521709598202624,1.547029702970297
11,500,0.5,-1,0.0,0.0,0.0,100.0
11,500,0.8,-1,0.0,0.0,0.0,100.0
12,100,0.2,0.577636939791761,0.4244843646041251,0.3239400863163239,0.306068220736532,57.55156353958749
12,100,0.5,0.5827538247566064,0.4181636726546906,0.32181259600614437,0.2952426566590341,58.183632734530946
12,100,0.8,0.8672566371681416,0.03260146373918829,0.03243958953988745,0.004920710944317235,96.73985362608117
12,500,0.2,0.577636939791761,0.4244843646041251,0.3239400863163239,0.306068220736532,57.55156353958749
12,500,0.5,0.5827538247566064,0.4181636726546906,0.32181259600614437,0.2952426566590341,58.183632734530946
12,500,0.8,0.8672566371681416,0.03260146373918829,0.03243958953988745,0.004920710944317235,96.73985362608117
13,100,0.2,0.9611219598792828,0.9605251485851148,0.9246008026641619,0.14769006666284515,3.9474851414885124
13,100,0.5,0.9722297358218375,0.9565333096779917,0.931094033330455,0.10385511537021987,4.346669032200834
13,100,0.8,0.9807142198025284,0.9427836423312339,0.9256227138129246,0.07047311400122064,5.721635766876608
13,500,0.2,0.9611219598792828,0.9605251485851148,0.9246008026641619,0.14769006666284515,3.9474851414885124
13,500,0.5,0.9722297358218375,0.9565333096779917,0.931094033330455,0.10385511537021987,4.346669032200834
13,500,0.8,0.9807142198025284,0.9427836423312339,0.9256227138129246,0.07047311400122064,5.721635766876608
14,100,0.2,0.7571122667482411,0.8721369242386107,0.6814695354600165,1.9343275271025109,12.786307576138938
14,100,0.5,0.9122304680652136,0.7858545179964762,0.7306126269480976,0.5227347869211896,21.414548200352378
14,100,0.8,0.9160002369527872,0.778404228542663,0.7265423107644599,0.4935006177458367,22.159577145733703
14,500,0.2,0.7571122667482411,0.8721369242386107,0.6814695354600165,1.9343275271025109,12.786307576138938
14,500,0.5,0.9122304680652136,0.7858545179964762,0.7306126269480976,0.5227347869211896,21.414548200352378
14,500,0.8,0.9160002369527872,0.778404228542663,0.7265423107644599,0.4935006177458367,22.159577145733703
15,100,0.2,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
15,100,0.5,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
15,100,0.8,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
15,500,0.2,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
15,500,0.5,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
15,500,0.8,0.865530303030303,0.8996062992125984,0.7892918825561313,0.023150261500136944,10.039370078740157
16,100,0.2,0.9422036779477669,0.9806980858935178,0.9250493096646942,0.1242595096733038,1.9301914106482225
16,100,0.5,0.9422036779477669,0.9806980858935178,0.9250493096646942,0.1242595096733038,1.9301914106482225
16,100,0.8,0.943105860407275,0.9758726073668972,0.9216162843688288,0.12160155224713688,2.412739263310278
16,500,0.2,0.9422036779477669,0.9806980858935178,0.9250493096646942,0.1242595096733038,1.9301914106482225
16,500,0.5,0.9422036779477669,0.9806980858935178,0.9250493096646942,0.1242595096733038,1.9301914106482225
16,500,0.8,0.943105860407275,0.9758726073668972,0.9216162843688288,0.12160155224713688,2.412739263310278
17,100,0.2,0.8317018072289156,0.949290932531156,0.7963229992790195,0.2413958838491573,5.0709067468844005
17,100,0.5,0.9004886717014661,0.8710786420283627,0.7945903567228538,0.12096795969174773,12.892135797163732
17,100,0.8,0.9140480591497228,0.8500214868929953,0.7871070433744528,0.10044660938689765,14.997851310700472
17,500,0.2,0.8317018072289156,0.949290932531156,0.7963229992790195,0.2413958838491573,5.0709067468844005
17,500,0.5,0.9004886717014661,0.8710786420283627,0.7945903567228538,0.12096795969174773,12.892135797163732
17,500,0.8,0.9140480591497228,0.8500214868929953,0.7871070433744528,0.10044660938689765,14.997851310700472
18,100,0.2,0.9717773945416222,0.9707145005605534,0.9440987181532897,0.6831026509153311,2.9285499439446556
18,100,0.5,0.9792774822695035,0.9665582018539279,0.947185079986066,0.4955972675893964,3.3441798146072026
18,100,0.8,0.9821983373918884,0.9595307757512783,0.9431289811057059,0.4213901900893798,4.046922424872166
18,500,0.2,0.9717773945416222,0.9707145005605534,0.9440987181532897,0.6831026509153311,2.9285499439446556
18,500,0.5,0.9792774822695035,0.9665582018539279,0.947185079986066,0.4955972675893964,3.3441798146072026
18,500,0.8,0.9821983373918884,0.9595307757512783,0.9431289811057059,0.4213901900893798,4.046922424872166
19,100,0.2,0.6807383353272944,0.8123597797266979,0.5882439816866046,1.0230179028132993,18.764022027330206
19,100,0.5,0.8305404767524192,0.7177238425453804,0.6260451876890233,0.3932156607173174,28.227615745461964
19,100,0.8,0.9607293127629734,0.5588415255965735,0.5463609172482552,0.06133726183891302,44.11584744034265
19,500,0.2,0.6807383353272944,0.8123597797266979,0.5882439816866046,1.0230179028132993,18.764022027330206
19,500,0.5,0.8305404767524192,0.7177238425453804,0.6260451876890233,0.3932156607173174,28.227615745461964
19,500,0.8,0.9607293127629734,0.5588415255965735,0.5463609172482552,0.06133726183891302,44.11584744034265
2,100,0.2,0.9462803901586839,0.9761225409220604,0.9248719408081958,0.12277858927733654,2.387745907793963
2,100,0.5,0.9538075560802833,0.9705661510737348,0.9269936890418818,0.10414552423795756,2.9433848926265207
2,100,0.8,0.9693251533742331,0.9490914551734495,0.9214171161976965,0.06654666085492494,5.090854482655054
2,500,0.2,0.9462803901586839,0.9761225409220604,0.9248719408081958,0.12277858927733654,2.387745907793963
2,500,0.5,0.9538075560802833,0.9705661510737348,0.9269936890418818,0.10414552423795756,2.9433848926265207
2,500,0.8,0.9693251533742331,0.9490914551734495,0.9214171161976965,0.06654666085492494,5.090854482655054
20,100,0.2,0.9173789173789174,0.9888253859933465,0.9079658494556277,1.2727516549428848,1.1174614006653587
20,100,0.5,0.950902224087285,0.9664761579800393,0.9205394865128371,0.7131798066490302,3.352384201996076
20,100,0.8,0.9535870349157863,0.9586709886547812,0.9159331703341483,0.6668535969863582,4.13290113452188
20,500,0.2,0.9173789173789174,0.9888253859933465,0.9079658494556277,1.2727516549428848,1.1174614006653587
20,500,0.5,0.950902224087285,0.9664761579800393,0.9205394865128371,0.7131798066490302,3.352384201996076
20,500,0.8,0.9535870349157863,0.9586709886547812,0.9159331703341483,0.6668535969863582,4.13290113452188
21,100,0.2,0.9717055279014933,0.9314414866901055,0.9068459657701712,0.05884981309735285,6.855851330989453
21,100,0.5,0.9850387389794283,0.9259166248116525,0.913075780089153,0.030514717902331106,7.408337518834757
21,100,0.8,0.9904813706826217,0.9146157709693621,0.9066467513069455,0.01907169868895694,8.538422903063788
21,500,0.2,0.9717055279014933,0.9314414866901055,0.9068459657701712,0.05884981309735285,6.855851330989453
21,500,0.5,0.9850387389794283,0.9259166248116525,0.913075780089153,0.030514717902331106,7.408337518834757
21,500,0.8,0.9904813706826217,0.9146157709693621,0.9066467513069455,0.01907169868895694,8.538422903063788
22,100,0.2,0.8967943706020328,0.9095955590800952,0.823402727925341,0.07087666922610195,9.040444091990484
22,100,0.5,0.8967943706020328,0.9095955590800952,0.823402727925341,0.07087666922610195,9.040444091990484
22,100,0.8,0.9233419465977606,0.8501189532117367,0.794074074074074,0.0477880572812354,14.988104678826328
22,500,0.2,0.8967943706020328,0.9095955590800952,0.823402727925341,0.07087666922610195,9.040444091990484
22,500,0.5,0.8967943706020328,0.9095955590800952,0.823402727925341,0.07087666922610195,9.040444091990484
22,500,0.8,0.9233419465977606,0.8501189532117367,0.794074074074074,0.0477880572812354,14.988104678826328
23,100,0.2,0.9261029003222581,0.9951044776119403,0.9219026548672566,0.33855161002927325,0.4895522388059702
23,100,0.5,0.9651606838611128,0.980776119402985,0.9472409617713199,0.1509481990581647,1.9223880597014926
23,100,0.8,0.9651606838611128,0.980776119402985,0.9472409617713199,0.1509481990581647,1.9223880597014926
23,500,0.2,0.9261029003222581,0.9951044776119403,0.9219026548672566,0.33855161002927325,0.4895522388059702
23,500,0.5,0.9651606838611128,0.980776119402985,0.9472409617713199,0.1509481990581647,1.9223880597014926
23,500,0.8,0.9651606838611128,0.980776119402985,0.9472409617713199,0.1509481990581647,1.9223880597014926
24,100,0.2,0.8915708089760513,0.995787700084246,0.8882209280480932,0.14202720994338672,0.42122999157540014
24,100,0.5,0.9453044375644994,0.9646166807076664,0.9136245761021344,0.06545601849564779,3.5383319292333613
24,100,0.8,0.9453044375644994,0.9646166807076664,0.9136245761021344,0.06545601849564779,3.5383319292333613
24,500,0.2,0.8915708089760513,0.995787700084246,0.8882209280480932,0.14202720994338672,0.42122999157540014
24,500,0.5,0.9453044375644994,0.9646166807076664,0.9136245761021344,0.06545601849564779,3.5383319292333613
24,500,0.8,0.9453044375644994,0.9646166807076664,0.9136245761021344,0.06545601849564779,3.5383319292333613
25,100,0.2,0.38885728597991187,0.9950032587442972,0.38809941446136376,19.798388205847566,0.49967412557028024
25,100,0.5,0.9794502549009303,0.4048663914838149,0.4014562374787273,0.10754462689440823,59.513360851618515
25,100,0.8,0.987481867511954,0.3993048012165979,0.3972937336532434,0.0640866958219875,60.069519878340216
25,500,0.2,0.38885728597991187,0.9950032587442972,0.38809941446136376,19.798388205847566,0.49967412557028024
25,500,0.5,0.9794502549009303,0.4048663914838149,0.4014562374787273,0.10754462689440823,59.513360851618515
25,500,0.8,0.987481867511954,0.3993048012165979,0.3972937336532434,0.0640866958219875,60.069519878340216
26,100,0.2,0.9492453143141483,0.6144183799452466,0.5948755262200509,0.15653334902077135,38.55816200547533
26,100,0.5,0.9639624252775406,0.6059369799774545,0.5925148286179203,0.10793639425942078,39.40630200225455
26,100,0.8,0.9773439598817946,0.5858607547372376,0.5780108039402606,0.06471068186642999,41.41392452627623
26,500,0.2,0.9492453143141483,0.6144183799452466,0.5948755262200509,0.15653334902077135,38.55816200547533
26,500,0.5,0.9639624252775406,0.6059369799774545,0.5925148286179203,0.10793639425942078,39.40630200225455
26,500,0.8,0.9773439598817946,0.5858607547372376,0.5780108039402606,0.06471068186642999,41.41392452627623
27,100,0.2,0.9461886972418727,0.4137643378519291,0.4042517064556661,0.17776960848672638,58.623566214807084
27,100,0.5,0.9997435020519836,0.4064303093500174,0.4063879331317555,0.0007877530656723473,59.35696906499827
27,100,0.8,0.9997435020519836,0.4064303093500174,0.4063879331317555,0.0007877530656723473,59.35696906499827
27,500,0.2,0.9461886972418727,0.4137643378519291,0.4042517064556661,0.17776960848672638,58.623566214807084
27,500,0.5,0.9997435020519836,0.4064303093500174,0.4063879331317555,0.0007877530656723473,59.35696906499827
27,500,0.8,0.9997435020519836,0.4064303093500174,0.4063879331317555,0.0007877530656723473,59.35696906499827
